abm-1-to-1|||Execute Strategic ABM (1-to-1) for 5-15 high-value accounts — custom microsites, executive engagement, and more.
abm-1-to-few|||Execute ABM at Scale (1-to-few) for 15-50 clustered accounts — semi-custom campaigns, industry-specific content, persona-based plays.
abm-1-to-many|||Execute Programmatic ABM (1-to-many) for 50-200+ accounts — automated personalization, scaled outbound, lookalike expansion.
abm-strategy|||Design and execute Account-Based Marketing strategy — tier selection, account scoring, and more.
account-selection|||Select and prioritize target accounts for ABM programs — scoring models, tier assignment, TAM segmentation.
multi-thread-orchestration|||Orchestrate multi-threaded ABM engagement across buying committee members — stakeholder mapping, parallel plays, ghost node detection.
strategic-gifting|||Strategic B2B gifting — John Ruhlin Giftology, Sendoso/Alyce/Reachdesk platforms, and more. Use for sending executive gifts.
1p-tagging-pixels|||Set up first-party tracking and analytics — website pixels, conversion tracking, and more. Use for setting up tracking.
a-b-testing|||Design statistically sound GTM experiments for copy, channels, landing pages, sequencing, pricing, and funnel conversion.
attribution|||Build practical B2B attribution models across first touch, lead creation, opportunity creation, multi-touch, account-based influence.
campaign-analytics|||Analyze campaign performance from deliverability through revenue: delivery, engagement, and more.
deliverability-monitoring|||Monitor outbound deliverability health across domains, inboxes, DNS, bounces, spam placement, reply rates, and reputation signals.
event-analytics|||Customer event analytics across every GTM system — Intercom, Zendesk, and more. Covers event taxonomy design, tracking implementation, event-driven workflows.
growth-experimentation|||Build a growth experimentation system — ICE scoring, growth sprints, and more. Use for building an experimentation program.
gtm-metrics|||Build a GTM metrics system for SaaS: funnel conversion, pipeline velocity, and more. Use for creating metrics dashboards.
gtm-system-architecture|||Design a complete GTM operating system — revenue model, data model, and more. Use for designing a GTM system from scratch.
marketing-strategy|||Build complete B2B marketing strategies — channel mix, budget allocation, and more. Use for building a marketing plan.
paid-advertising|||Build and manage paid advertising campaigns across B2B platforms — LinkedIn Ads, Google Ads, and more. Use for launching paid campaigns.
proactive-alerts|||Set up proactive GTM alert systems — CRM pipeline alerts, buying signal notifications, and more. Use for building alert systems.
tracking-plan|||Master analytics tracking plan for PLG and B2B SaaS — unified event taxonomy, pixel strategy (1P and 3P tagging), and more.
ai-sdr-setup|||Deploy AI SDR agents safely and effectively — vendor selection, pilot scope, and more. Use for setting up 11x.
api-enrichment|||Build API-first enrichment pipelines — provider selection, batching, and more. Use for integrating enrichment APIs directly into GTM systems.
attio-setup|||Set up Attio for B2B SaaS GTM — programmable CRM, custom objects, and more. Use for configuring Attio for sales.
clay-automation|||Build production-grade Clay enrichment workflows — table architecture, waterfall configuration, and more. Use for building Clay tables.
crm-integration|||Configure CRM systems for GTM — lifecycle stages, deal stages, and more. Use for setting up HubSpot.
hubspot-setup|||Set up HubSpot for B2B SaaS GTM — CRM configuration, deal pipelines, and more. Use for configuring HubSpot for sales.
mcp-setup|||Configure Model Context Protocol servers for GTM workflows — server selection, tool scope, and more. Use for connecting CRM.
n8n-automation|||Build n8n workflows for GTM automation — triggers, webhook-to-enrichment-to-CRM pipelines, and more. Use for building n8n workflows.
salesforce-setup|||Set up Salesforce for B2B SaaS GTM — object model, opportunity pipelines, and more. Use for configuring Salesforce for sales.
skills-lock|||skills.lock — version locking and integrity tracking for agent skills repositories.
